Ingredient,Supplier,Cost per kg,Select,Ingredient Category,Cost Kg w Composite,Composite cost,TOTAL/MERIDA (from Composite cost),Imported table,OIK104 MENU INGREDIENTS copy,datecreated,OIK104 MENU,OIK104 MENU copy,OIK104 MENU INGREDIENTS copy,SUPPLIES 2025,SUPPLIES 2026,Q 2025 (from SUPPLIES 2026),Q 2026 (from SUPPLIES 2026),OIK104 MENU INGREDIENTS copy,OIK104 MENU INGREDIENTS
ΣΚΟΡΔΑ,,"5,50",CONNECTED INGREDIENTS,ΛΑΧΑΝΙΚΑ,"5,50",,,"ΦΑΒΑ 5 ΜΕΡΙΔΕΣ,ΤΖΑΤΖΙΚΙ 5 ΚΙΛΩΝ,ΜΕΛΙΤΖΑΝΟΣΑΛΑΤΑ  1 ΚΙΛΟΥ,ΠΑΝΤΖΑΡΟΣΑΛΑΤΑ 1 ΚΙΛΟΥ,ΚΡΙΘΑΡΟΤΟ  ΓΑΡΙΔΑΣ,ΣΠΑΓΓΕΤΙ ΦΡΕΣΚΙΑ ΝΤΟΜΑΤΑ,BIANCO,ΓΕΜΙΣΤΑ 10 ΜΕΡΙΔΕΣ,ΨΑΡΟΣΟΥΠΑ ΒΕΛΟΥΤΕ 4 ΜΕΡΙΔΕΣ,ΑΡΝΑΚΙ ΓΙΟΥΒΕΤΣΙ,ΑΡΝΑΚΙ ΦΡΙΚΑΣΕ 2ΚΙΛΑ,ΜΑΡΙΝΑΔΑ ΧΟΙΡΙΝΑ ΠΑΙΔΑΚΙΑ,ΣΑΛΤΣΑ BBQ ΧΟΙΡΙΝΑ ΠΑΙΔΑΚΙΑ,ΜΠΙΦΤΕΚΙ ΚΟΤΟΠΟΥΛΟ,ΣΑΛΤΣΑ ΠΕΣΤΟ 1ΚΙΛΟΥ,ΣΑΛΤΣΑ ΜΠΟΛΟΝΕΖ ΜΑΝΙΤΑΡΙΩΝ,ΣΚΟΡΔΑΛΙΑ,ΚΡΙΘΑΡΟΤΟ ΧΕΛΙ,ΧΕΛΙ ΚΕΡΑΜΙΔΙ,ΣΑΛΤΣΑ ΚΑΙΣΑΡΑ 10 ΜΕΡΙΔΕΣ,ΣΚΟΡΔΟΤΥΡΟΨΩΜΟ,ΣΚΟΡΔΟΨΩΜΟ",,5/4/2025 8:36am,,,"ΤΖΑΤΖΙΚΙ 5 ΚΙΛΩΝ,ΣΚΟΡΔΟΨΩΜΟ,ΣΚΟΡΔΟΤΥΡΟΨΩΜΟ,ΓΕΜΙΣΤΑ 10 ΜΕΡΙΔΕΣ",,,,,"BIANCO, ΑΡΝΑΚΙ ΓΙΟΥΒΕΤΣΙ, ΑΡΝΑΚΙ ΦΡΙΚΑΣΕ 2ΚΙΛΑ, ΓΕΜΙΣΤΑ 10 ΜΕΡΙΔΕΣ, ΚΡΙΘΑΡΟΤΟ  ΓΑΡΙΔΑΣ, ΜΕΛΙΤΖΑΝΟΣΑΛΑΤΑ  1 ΚΙΛΟΥ, ΠΑΝΤΖΑΡΟΣΑΛΑΤΑ 1 ΚΙΛΟΥ, ΣΠΑΓΓΕΤΙ ΦΡΕΣΚΙΑ ΝΤΟΜΑΤΑ, ΤΖΑΤΖΙΚΙ 5 ΚΙΛΩΝ, ΦΑΒΑ 5 ΜΕΡΙΔΕΣ, ΨΑΡΟΣΟΥΠΑ ΒΕΛΟΥΤΕ 4 ΜΕΡΙΔΕΣ, ΜΑΡΙΝΑΔΑ ΧΟΙΡΙΝΑ ΠΑΙΔΑΚΙΑ, ΣΑΛΤΣΑ BBQ ΧΟΙΡΙΝΑ ΠΑΙΔΑΚΙΑ, ΜΠΙΦΤΕΚΙ ΚΟΤΟΠΟΥΛΟ, ΣΑΛΤΣΑ ΚΑΙΣΑΡΑ 10 ΜΕΡΙΔΕΣ, ΣΑΛΤΣΑ ΠΕΣΤΟ 1ΚΙΛΟΥ, ΣΑΛΤΣΑ ΜΠΟΛΟΝΕΖ ΜΑΝΙΤΑΡΙΩΝ, ΣΚΟΡΔΑΛΙΑ, ΚΡΙΘΑΡΟΤΟ ΧΕΛΙ, ΧΕΛΙ ΚΕΡΑΜΙΔΙ, ΣΑΛΤΣΑ ΚΑΙΣΑΡΑ 10 ΜΕΡΙΔΕΣ, ΣΑΛΤΣΑ ΚΑΙΣΑΡΑ 10 ΜΕΡΙΔΕΣ",
ΣΚΟΡΔΑΛΙΑ,,,CONNECTED INGREDIENTS,COMPOSITE,"1,35",ΣΚΟΡΔΑΛΙΑ,"1,35",,,9/4/2025 8:55am,,,,,,,,,
ΣΚΟΡΔΟ ΠΟΥΔΡΑ,,,CONNECTED INGREDIENTS,,,,,DRESSING ΣΑΛΑΤΑ ΟΣΠΡΙΩΝ,,9/4/2025 9:20am,,,,,,,,DRESSING ΣΑΛΑΤΑ ΟΣΠΡΙΩΝ,
ΣΚΟΡΔΟ ΤΡΙΜΜΕΝΟ,"ΠΑΣΣΙΑΣ,ΓΑΖΗΣ","13,33",CONNECTED INGREDIENTS,ΔΙΑΦΟΡΑ,"13,33",,,ΣΑΛΤΣΑ ΠΙΤΣΑΣ,,6/4/2025 8:28am,,,,ΣΚΟΡΔΟ ΤΡΙΜΜΕΝΟ,,,,ΣΑΛΤΣΑ ΠΙΤΣΑΣ,
ΣΟΓΙΑ,,,CONNECTED INGREDIENTS,,,,,ΜΑΡΙΝΑΔΑ ΧΟΙΡΙΝΑ ΠΑΙΔΑΚΙΑ,,9/4/2025 8:57am,,,,,,,,ΜΑΡΙΝΑΔΑ ΧΟΙΡΙΝΑ ΠΑΙΔΑΚΙΑ,
ΣΟΚΟΛΑΤΑ ΚΟΥΒΕΡΤΟΥΡΑ,"ΠΑΣΣΙΑΣ,ΓΑΖΗΣ","16,19",CONNECTED INGREDIENTS,ΔΙΑΦΟΡΑ,"16,19",,,"ΣΟΥΦΛΕ ΣΟΚΟΛΑΤΑΣ,ΜΠΑΡΕΣ ΔΗΜΗΤΡΙΑΚΩΝ",,6/4/2025 8:28am,,,ΜΠΑΡΕΣ ΔΗΜΗΤΡΙΑΚΩΝ,,,,,ΣΟΥΦΛΕ ΣΟΚΟΛΑΤΑΣ,
ΣΟΥΒΛΑΚΙ ΚΟΤΟΠΟΥΛΟ,,"5,30",CONNECTED INGREDIENTS,ΚΡΕΑΤΑ - ΠΟΥΛΕΡΙΚΑ,"5,30",,,ΚΑΛΑΜΠΟΚΙ ΜΕ ΚΟΤΟΠΟΥΛΟ,,7/5/2025 10:15am,,,"ΣΟΥΒΛΑΚΙ ΚΟΤΟΠΟΥΛΟ  ΜΕΡΙΔΑ,ΚΑΛΑΜΠΟΚΙ ΜΕ ΚΟΤΟΠΟΥΛΟ",,,,,,
ΣΟΥΣΑΜΙ 500,"ΠΑΣΣΙΑΣ,ΓΑΖΗΣ","5,96",CONNECTED INGREDIENTS,ΔΙΑΦΟΡΑ,"5,96",,,"ΦΩΛΙΑ ΚΑΝΤΑΙΦΙ 7TMX,ΛΑΔΟΡΑΒΑΝΗ 30 ΜΕΡΙΔΕΣ,ΦΕΤΑ ΣΕ ΦΥΛΛΟ ΚΡΟΥΣΤΑΣ",,6/4/2025 8:28am,,,ΦΕΤΑ ΣΕ ΦΥΛΛΟ ΚΡΟΥΣΤΑΣ,,,,,"ΛΑΔΟΡΑΒΑΝΗ 30 ΜΕΡΙΔΕΣ, ΦΩΛΙΑ ΚΑΝΤΑΙΦΙ 7TMX, ΦΕΤΑ ΣΕ ΦΥΛΛΟ ΚΡΟΥΣΤΑΣ",
ΣΠΑΓΓΕΤΙ,"ΠΑΣΣΙΑΣ,ΓΑΖΗΣ","1,72",CONNECTED INGREDIENTS,ΔΙΑΦΟΡΑ,"1,72",,,"ΣΠΑΓΓΕΤΙ ΦΡΕΣΚΙΑ ΝΤΟΜΑΤΑ,ΓΑΡΙΔΟΜΑΚΑΡΟΝΑΔΑ",,6/4/2025 8:28am,,,,,,,,"ΓΑΡΙΔΟΜΑΚΑΡΟΝΑΔΑ, ΠΕΝΝΕΣ ΜΕ ΦΙΛΕΤΑΚΙΑ ΚΟΤΟΠΟΥΛΟ, ΣΠΑΓΓΕΤΙ ΦΡΕΣΚΙΑ ΝΤΟΜΑΤΑ",
ΣΠΑΝΑΚΙ,,"1,30",CONNECTED INGREDIENTS,ΛΑΧΑΝΙΚΑ,"1,30",,,ΣΠΑΝΑΚΟΠΙΤΑ 8 ΜΕΡΙΔΕΣ (ΚΟΣΤΟΣ ΜΕΡΙΔΑΣ),,5/4/2025 8:36am,,,ΣΠΑΝΑΚΟΠΙΤΑ 8 ΜΕΡΙΔΕΣ (ΚΟΣΤΟΣ ΜΕΡΙΔΑΣ),,,,,ΣΠΑΝΑΚΟΠΙΤΑ 8 ΜΕΡΙΔΕΣ (ΚΟΣΤΟΣ ΜΕΡΙΔΑΣ),
ΣΤΑΦΙΔΕΣ ΜΑΥΡΕΣ,,"3,15",CONNECTED INGREDIENTS,SUPER FOOD,"3,15",,,,,6/4/2025 8:19am,,,,,,,,,
ΣΤΡΑΓΓΙΣΤΟ,"ΠΑΣΣΙΑΣ,ΓΑΖΗΣ","3,33",CONNECTED INGREDIENTS,ΔΙΑΦΟΡΑ,"3,33",,,"""ΕΛΛΗΝΙΚΟ ΣΤΡΑΓΓΙΣΤΟ ΓΙΑΟΥΡΤΙ, ΣΤΡΑΓΓΙΣΤΟ ΕΛΛΗΝΙΚΟ ΓΙΑΟΥΡΤΙ"",ΤΥΡΟΚΑΥΤΕΡΗ 5ΜΕΡΙΔΕΣ,ΠΑΝΤΖΑΡΟΣΑΛΑΤΑ 1 ΚΙΛΟΥ,ΣΤΡΑΓΓΙΣΤΟ ΕΛΛΗΝΙΚΟ ΓΙΑΟΥΡΤΙ,ΤΥΡΟΚΑΥΤΕΡΗ",,6/4/2025 8:28am,,,"ΤΥΡΟΚΑΥΤΕΡΗ,ΕΛΛΗΝΙΚΟ ΣΤΡΑΓΓΙΣΤΟ ΓΙΑΟΥΡΤΙ ",,,,,"ΕΛΛΗΝΙΚΟ ΣΤΡΑΓΓΙΣΤΟ ΓΙΑΟΥΡΤΙ, ΠΑΝΤΖΑΡΟΣΑΛΑΤΑ 1 ΚΙΛΟΥ, ΤΥΡΟΚΑΥΤΕΡΗ 5ΜΕΡΙΔΕΣ",
ΣΥΝΤΑΓΗ ΓΙΑ 17 ΚΑΡΒΕΛΙΑ,,,CONNECTED INGREDIENTS,COMPOSITE,,,,,,9/4/2025 8:55am,,,,,,,,,
ΣΥΝΤΑΓΗ ΓΙΑ 17 ΚΑΡΒΕΛΙΑ,,,CONNECTED INGREDIENTS,COMPOSITE,,,,,,7/5/2025 7:07am,,,,,,,,,
ΣΦΗΝΑΚΙ ΜΑΡΤΙΝΙ,,,CONNECTED INGREDIENTS,,,,,ΡΙΖΟΤΟ ΦΡΕΣΚΩΝ ΑΓΡΙΩΝ ΜΑΝΙΤΑΡΙΩΝ,,8/4/2025 9:04pm,,,,,,,,ΡΙΖΟΤΟ ΦΡΕΣΚΩΝ ΑΓΡΙΩΝ ΜΑΝΙΤΑΡΙΩΝ,
ΣΩΣ ΒΑΛΣΑΜΙΚΟ 1000,,,CONNECTED INGREDIENTS,COMPOSITE,"15,02",ΣΩΣ ΒΑΛΣΑΜΙΚΟ 1000,"15,02",,,9/4/2025 8:55am,,,,,,,,,
ΣΩΣ ΒΑΛΣΑΜΙΚΟ 1000,,,CONNECTED INGREDIENTS,COMPOSITE,"15,02",ΣΩΣ ΒΑΛΣΑΜΙΚΟ 1000,"15,02",,,7/5/2025 7:07am,,,,,,,,,
ΣΩΣ ΚΙΤΡΙΝΗ,,,CONNECTED INGREDIENTS,COMPOSITE,"5,17",ΣΩΣ ΚΙΤΡΙΝΗ,"5,17",,,9/4/2025 8:55am,,,,,,,,,
ΤΑΜΠΑΣΚΟ,,,CONNECTED INGREDIENTS,,,,,,,9/4/2025 9:06am,,,,,,,,ΣΑΛΤΣΑ ΚΑΙΣΑΡΑ 10 ΜΕΡΙΔΕΣ,
ΤΑΜΠΑΣΚΟ (96ml/τμχ),"ΠΑΣΣΙΑΣ,ΓΑΖΗΣ","10,01",CONNECTED INGREDIENTS,ΔΙΑΦΟΡΑ,"10,01",,,ΣΑΛΤΣΑ ΚΑΙΣΑΡΑ 10 ΜΕΡΙΔΕΣ,,6/4/2025 8:28am,,,,,,,,"ΣΑΛΤΣΑ ΚΑΙΣΑΡΑ 10 ΜΕΡΙΔΕΣ, ΣΑΛΤΣΑ ΚΑΙΣΑΡΑ 10 ΜΕΡΙΔΕΣ",
ΤΑΡΑΜΑΣ ΛΕΥΚΟΣ,"ΠΑΣΣΙΑΣ,ΓΑΖΗΣ","10,60",CONNECTED INGREDIENTS,ΔΙΑΦΟΡΑ,"10,60",,,ΚΡΕΜΑ ΛΕΥΚΟΥ ΤΑΡΑΜΑ 4 MΕΡΙΔΕΣ,,6/4/2025 8:28am,,,,,,,,ΚΡΕΜΑ ΛΕΥΚΟΥ ΤΑΡΑΜΑ 4 MΕΡΙΔΕΣ,
ΤΑΧΙΝΙ,"ΠΑΣΣΙΑΣ,ΓΑΖΗΣ","4,00",CONNECTED INGREDIENTS,ΔΙΑΦΟΡΑ,"4,00",,,ΧΟΥΜΟΥΣ,,6/4/2025 8:28am,,,,,,,,ΧΟΥΜΟΥΣ,
ΤΖΑΤΖΙΚΙ,,,CONNECTED INGREDIENTS,,,,,"ΜΙΚΡΗ ΠΟΙΚΙΛΙΑ ΚΡΕΑΤΙΚΩΝ,ΠΟΙΚΙΛΙΑ ΚΡΕΑΤΙΚΩΝ",,8/4/2025 9:40pm,,,,,,,,"ΜΙΚΡΗ ΠΟΙΚΙΛΙΑ ΚΡΕΑΤΙΚΩΝ, ΠΟΙΚΙΛΙΑ ΚΡΕΑΤΙΚΩΝ",
ΤΖΑΤΖΙΚΙ 5 ΚΙΛΩΝ,,,CONNECTED INGREDIENTS,COMPOSITE,"2,54",ΤΖΑΤΖΙΚΙ 5 ΚΙΛΩΝ,"2,54","ΤΖΑΤΖΙΚΙ ΜΕΡΙΔΑ,ΚΛΑΜΠ ΣΑΝΤΟΥΙΤΣ ΠΙΤΑ ΓΥΡΟΣ,ΚΛΑΣΙΚΟ ΜΕ ΧΟΙΡΙΝΟ",,11/4/2025 10:06am,,,"ΣΟΥΒΛΑΚΙ ΧΟΙΡΙΝΟ ΜΕΡΙΔΑ,ΚΛΑΜΠ ΣΑΝΤΟΥΙΤΣ ΠΙΤΑ ΓΥΡΟΣ,ΚΛΑΣΙΚΟ ΜΕ ΧΟΙΡΙΝΟ",,,,,ΤΖΑΤΖΙΚΙ ΜΕΡΙΔΑ,
ΤΖΙΝΤΖΕΡ,,"3,40",CONNECTED INGREDIENTS,ΛΑΧΑΝΙΚΑ,"3,40",,,ΜΑΡΙΝΑΡΙΣΜΕΝΕΣ ΓΑΡΙΔΕΣ (ΣΕΒΙΤΣΕ),,5/4/2025 8:36am,,,,,,,,ΜΑΡΙΝΑΡΙΣΜΕΝΕΣ ΓΑΡΙΔΕΣ (ΣΕΒΙΤΣΕ),
ΤΟΜΑΤΑ ΛΙΑΣΤΗ,"ΠΑΣΣΙΑΣ,ΓΑΖΗΣ","2,22",CONNECTED INGREDIENTS,ΔΙΑΦΟΡΑ,"2,22",,,,,6/4/2025 8:28am,,,,,,,,,
ΤΟΜΑΤΕΣ,,"1,30",CONNECTED INGREDIENTS,ΛΑΧΑΝΙΚΑ,"1,30",,,"ΧΩΡΙΑΤΙΚΗ YACHT CLUB,ΧΩΡΙΑΤΙΚΗ,ΣΑΛΑΤΑ ΜΑΥΡΟΜΑΤΙΚΑ,ΚΡΗΤΙΚΟΣ ΝΤΑΚΟΣ,ΜΠΕΡΓΚΕΡ YACHT CLUB,ΓΕΜΙΣΤΑ 10 ΜΕΡΙΔΕΣ,ΓΕΜΙΣΤΑ 10 ΜΕΡΙΔΕΣ,ΣΑΛΤΣΑ ΝΤΟΜΑΤΑΣ 1ΚΙΛΟΥ/ΚΕΦΤΕΔΑΚΙΑ,ΧΕΛΙ ΚΕΡΑΜΙΔΙ,ΚΑΛΑΜΠΟΚΙ ΜΕ ΚΟΤΟΠΟΥΛΟ,ΚΛΑΜΠ ΣΑΝΤΟΥΙΤΣ ΚΛΑΣΙΚΟ,ΚΛΑΜΠ ΣΑΝΤΟΥΙΤΣ ΠΙΤΑ ΓΥΡΟΣ,ΚΛΑΣΙΚΟ ΜΕ ΧΟΙΡΙΝΟ,ΚΡΕΠΑ ΚΟΤΟΠΟΥΛΟ,ΜΑΡΓΑΡΙΤΑ,ΜΠΕΡΓΚΕΡ ,ΝΤΑΚΟΣ,ΟΛΙΚΗΣ VEGETARIAN ,ΟΜΕΛΕΤΑ ΚΛΑΣΣΙΚΗ,ΣΤΡΑΠΑΤΣΑΔΑ,ΤΟΡΤΙΓΙΑ ΚΟΤΟΠΟΥΛΟ,ΧΩΡΙΑΤΙΚΗ ΠΙΤΣΑ",,4/4/2025 10:15am,,,"ΜΑΡΓΑΡΙΤΑ,ΧΩΡΙΑΤΙΚΗ ΠΙΤΣΑ,ΟΜΕΛΕΤΑ ΚΛΑΣΣΙΚΗ,ΣΟΥΒΛΑΚΙ ΧΟΙΡΙΝΟ ΜΕΡΙΔΑ,ΣΟΥΒΛΑΚΙ ΚΟΤΟΠΟΥΛΟ  ΜΕΡΙΔΑ,ΓΕΜΙΣΤΑ 10 ΜΕΡΙΔΕΣ,ΓΕΜΙΣΤΑ 10 ΜΕΡΙΔΕΣ,ΜΠΕΡΓΚΕΡ ,ΚΛΑΜΠ ΣΑΝΤΟΥΙΤΣ ΚΛΑΣΙΚΟ,ΚΛΑΜΠ ΣΑΝΤΟΥΙΤΣ ΠΙΤΑ ΓΥΡΟΣ,ΤΟΡΤΙΓΙΑ ΚΟΤΟΠΟΥΛΟ,ΚΛΑΣΙΚΟ ΜΕ ΧΟΙΡΙΝΟ,ΚΑΛΑΜΠΟΚΙ ΜΕ ΚΟΤΟΠΟΥΛΟ,ΟΛΙΚΗΣ VEGETARIAN ,XΩΡΙΑΤΙΚΗ ΣΑΛΑΤΑ,ΝΤΑΚΟΣ,ΣΤΡΑΠΑΤΣΑΔΑ,ΚΡΕΠΑ ΚΟΤΟΠΟΥΛΟ",,,,,"ΓΕΜΙΣΤΑ 10 ΜΕΡΙΔΕΣ, ΓΕΜΙΣΤΑ 10 ΜΕΡΙΔΕΣ, ΚΡΗΤΙΚΟΣ ΝΤΑΚΟΣ, ΜΠΕΡΓΚΕΡ YACHT CLUB, ΣΑΛΑΤΑ ΜΑΥΡΟΜΑΤΙΚΑ, ΧΩΡΙΑΤΙΚΗ, ΧΩΡΙΑΤΙΚΗ YACHT CLUB, ΣΑΛΤΣΑ ΝΤΟΜΑΤΑΣ 1ΚΙΛΟΥ/ΚΕΦΤΕΔΑΚΙΑ, ΣΑΛΤΣΑ ΝΤΟΜΑΤΑΣ 1ΚΙΛΟΥ/ΚΕΦΤΕΔΑΚΙΑ, ΧΕΛΙ ΚΕΡΑΜΙΔΙ",
ΤΟΜΑΤΟΧΥΜΟΣ,"ΠΑΣΣΙΑΣ,ΓΑΖΗΣ","2,60",CONNECTED INGREDIENTS,ΔΙΑΦΟΡΑ,"2,60",,,ΣΑΛΤΣΑ ΠΙΤΣΑΣ,,6/4/2025 8:28am,,,,,,,,ΣΑΛΤΣΑ ΠΙΤΣΑΣ,
ΤΟΡΤΙΓΙΑ,"ΠΑΣΣΙΑΣ,ΓΑΖΗΣ","0,27",CONNECTED INGREDIENTS,ΑΡΤΟΣΚΕΥΑΣΜΑΤΑ,"0,27",,,ΤΟΡΤΙΓΙΑ ΚΟΤΟΠΟΥΛΟ,,6/4/2025 8:30am,,,ΤΟΡΤΙΓΙΑ ΚΟΤΟΠΟΥΛΟ,,,,,,
ΤΣΑΛΑΦΟΥΤΙ,"ΠΑΣΣΙΑΣ,ΓΑΖΗΣ","5,50",CONNECTED INGREDIENTS,ΤΥΡΙΑ,"5,50",,,"ΣΑΛΑΤΑ ΝΤΟΜΑΤΙΝΙΑ ΤΣΑΛΑΦΟΥΤΙ,ΠΟΙΚΙΛΙΑ ΤΥΡΙΩΝ,TΣΑΛΑΦΟΥΤΙ",,6/4/2025 8:21am,,,,,,,,"ΣΑΛΑΤΑ ΝΤΟΜΑΤΙΝΙΑ ΤΣΑΛΑΦΟΥΤΙ, ΠΟΙΚΙΛΙΑ ΤΥΡΙΩΝ, TΣΑΛΑΦΟΥΤΙ",
ΤΣΙΠΟΥΡΑ ΦΙΛΕΤΟ,,"11,26",CONNECTED INGREDIENTS,ΨΑΡΙΑ,"11,26",,,ΤΣΙΠΟΥΡΑ ΨΗΤΗ,,6/4/2025 8:25am,,,ΤΣΙΠΟΥΡΑ ,"""ΤΣΙΠΟΥΡΑ ΦΙΛΕΤΟ, ΤΣΙΠΟΥΡΑ ΦΙΛΕΤΟ""",,,,ΤΣΙΠΟΥΡΑ ΨΗΤΗ,
ΤΥΡΟΚΑΥΤΕΡΗ,,,CONNECTED INGREDIENTS,,,,,ΝΤΙΠ ΚΟΜΠΙΝΕΣΙΟΝ,,8/4/2025 8:48pm,,,,,,,,ΝΤΙΠ ΚΟΜΠΙΝΕΣΙΟΝ,
ΦΑΒΑ,"ΠΑΣΣΙΑΣ,ΓΑΖΗΣ","1,29",CONNECTED INGREDIENTS,ΔΙΑΦΟΡΑ,"1,29",,,"ΧΤΑΠΟΔΙ ΠΛΟΚΑΜΙ,ΚΑΛΑΜΑΡΙ ΨΗΤΟ,ΦΑΒΑ 5 ΜΕΡΙΔΕΣ,ΧΕΛΙ ΚΑΡΠΑΤΣΙΟ",,6/4/2025 8:28am,,,,,,,,"ΚΑΛΑΜΑΡΙ ΨΗΤΟ, ΧΤΑΠΟΔΙ ΠΛΟΚΑΜΙ, ΦΑΒΑ 5 ΜΕΡΙΔΕΣ, ΧΕΛΙ ΚΑΡΠΑΤΣΙΟ",
ΦΑΓΟΠΥΡΟ ,,,CONNECTED INGREDIENTS,SUPER FOOD,,,,,,6/4/2025 8:19am,,,,,,,,,
ΦΑΡΙΝΑΠ,,"2,60",CONNECTED INGREDIENTS,,"2,60",,,ΣΠΙΤΙΚΟ ΚΕΙΚ,,7/5/2025 9:49am,,,ΣΠΙΤΙΚΟ ΚΕΙΚ,,,,,,
ΦΕΤΑ,"ΠΑΣΣΙΑΣ,ΓΑΖΗΣ","8,60",CONNECTED INGREDIENTS,ΤΥΡΙΑ,"8,60",,,"ΦΩΛΙΑ ΚΑΝΤΑΙΦΙ 7TMX,ΤΥΡΟΚΑΥΤΕΡΗ 5ΜΕΡΙΔΕΣ,ΧΩΡΙΑΤΙΚΗ YACHT CLUB,ΧΩΡΙΑΤΙΚΗ,ΜΠΡΟΥΣΚΕΤΑ / ΠΡΟΜΑΔΑ,ΝΤΑΚΟΣ,ΣΤΡΑΠΑΤΣΑΔΑ,ΤΥΡΟΚΑΥΤΕΡΗ",,6/4/2025 8:21am,,,"XΩΡΙΑΤΙΚΗ ΣΑΛΑΤΑ,ΝΤΑΚΟΣ,ΣΤΡΑΠΑΤΣΑΔΑ,ΤΥΡΟΚΑΥΤΕΡΗ",,,,,"ΤΥΡΟΚΑΥΤΕΡΗ 5ΜΕΡΙΔΕΣ, ΦΩΛΙΑ ΚΑΝΤΑΙΦΙ 7TMX, ΧΩΡΙΑΤΙΚΗ, ΧΩΡΙΑΤΙΚΗ YACHT CLUB, ΣΑΛΤΣΑ ΦΕΤΑΣ 1ΚΙΛΟΥ, ΜΠΡΟΥΣΚΕΤΑ / ΠΡΟΜΑΔΑ",
ΦΕΤΑ ΛΕΥΚΟ ΤΥΡΙ,"ΠΑΣΣΙΑΣ,ΓΑΖΗΣ","5,90",CONNECTED INGREDIENTS,ΤΥΡΙΑ,"5,90",,,"ΓΑΡΙΔΕΣ ΜΕΘΥΣΜΕΝΕΣ (ΣΑΓΑΝΑΚΙ) 3ΜΕΡΙΔΕΣ,ΣΠΑΝΑΚΟΠΙΤΑ 8 ΜΕΡΙΔΕΣ (ΚΟΣΤΟΣ ΜΕΡΙΔΑΣ),ΣΑΛΤΣΑ ΦΕΤΑΣ  1ΚΙΛΟΥ,ΦΕΤΑ ΣΕ ΦΥΛΛΟ ΚΡΟΥΣΤΑΣ,ΧΩΡΙΑΤΙΚΗ ΠΙΤΣΑ",,6/4/2025 8:21am,,,"ΦΕΤΑ ΣΕ ΦΥΛΛΟ ΚΡΟΥΣΤΑΣ,ΧΩΡΙΑΤΙΚΗ ΠΙΤΣΑ,ΣΠΑΝΑΚΟΠΙΤΑ 8 ΜΕΡΙΔΕΣ (ΚΟΣΤΟΣ ΜΕΡΙΔΑΣ)",,,,,"ΓΑΡΙΔΕΣ ΜΕΘΥΣΜΕΝΕΣ (ΣΑΓΑΝΑΚΙ) 3ΜΕΡΙΔΕΣ, ΣΠΑΝΑΚΟΠΙΤΑ 8 ΜΕΡΙΔΕΣ (ΚΟΣΤΟΣ ΜΕΡΙΔΑΣ),  ΣΑΛΤΣΑ ΦΕΤΑΣ  1ΚΙΛΟΥ, ΦΕΤΑ ΣΕ ΦΥΛΛΟ ΚΡΟΥΣΤΑΣ,  ΣΑΛΤΣΑ ΦΕΤΑΣ  1ΚΙΛΟΥ",
ΦΕΤΑ ΤΡΙΜΜΑ,"ΠΑΣΣΙΑΣ,ΓΑΖΗΣ","8,12",CONNECTED INGREDIENTS,ΤΥΡΙΑ,"8,12",,,ΚΟΛΟΚΥΘΟΠΙΤΑ 8 ΜΕΡΙΔΕΣ,,6/4/2025 8:21am,,,,,,,,ΚΟΛΟΚΥΘΟΠΙΤΑ 8 ΜΕΡΙΔΕΣ,
ΦΙΛΕΤΟ ΜΠΟΥΤΙ ΚΟΤΟΠΟΥΛΟ,,"5,00",CONNECTED INGREDIENTS,ΚΡΕΑΤΑ - ΠΟΥΛΕΡΙΚΑ,"5,00",,,ΚΟΤΟΠΟΥΛΟ ΚΟΝΤΟΣΟΥΒΛΙ,,6/4/2025 8:24am,,,,,,,,ΚΟΤΟΠΟΥΛΟ ΚΟΝΤΟΣΟΥΒΛΙ,
ΦΟΥΝΤΟΥΚΙ ΨΗΜΕΝΟ 1kg,,"12,80",CONNECTED INGREDIENTS,ΔΙΑΦΟΡΑ,"12,80",,,ΓΚΡΑΝΟΛΑ 1ΚΙΛΟΥ,,7/5/2025 6:20am,,,,,,,,"ΓΚΡΑΝΟΛΑ 1ΚΙΛΟΥ, ΓΚΡΑΝΟΛΑ 1ΚΙΛΟΥ",
ΦΟΥΝΤΟΥΚΙ ΩΜΟ 1kg,,"12,00",CONNECTED INGREDIENTS,SUPER FOOD,"12,00",,,ΜΠΑΡΕΣ ΔΗΜΗΤΡΙΑΚΩΝ,,6/4/2025 8:19am,,,ΜΠΑΡΕΣ ΔΗΜΗΤΡΙΑΚΩΝ,,,,,,
ΦΟΥΝΤΟΥΚΙΑ,,,CONNECTED INGREDIENTS,,,,,,,9/4/2025 9:19am,,,,,,,,ΓΚΡΑΝΟΛΑ 1ΚΙΛΟΥ,
ΦΡΑΟΥΛΕΣ,,"2,30",CONNECTED INGREDIENTS,ΛΑΧΑΝΙΚΑ,"2,30",,,,,5/4/2025 8:36am,,,,,,,,,
ΦΡΟΥΤΟ ΕΠΟΧΗΣ,,,CONNECTED INGREDIENTS,,,,,,,8/4/2025 6:08pm,,,,,,,,,
ΦΥΛΛΟ,,,CONNECTED INGREDIENTS,,,,,,,8/4/2025 8:41pm,,,,,,,,,
